"Data Source","World Development Indicators",

"Last Updated Date","2025-12-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bhutan","BTN","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9394.29790479756","11087.9682666243","11668.4459508013","12289.4420191957","14336.865337346","14352.8230499392","13869.5240088987","13925.3482298494","15509.5347913464","15007.7504312326","15596.8842191285","17045.8522179302","17473.7098706822","15733.855066866","15258.0125864059","16146.9446653733","24693.7511221164","26824.9491638156","26980.5578268121","30676.9134479407","23179.676160807","27290.6893358896","20496.9980528514","22093.6438961738","26143.5629869017","25377.2194362207","23391.4904547131","19824.9812967502","15222.3114665956","13346.2701373357","12725.9616498212","15026.0870217581","13836.5836120247","",
"Botswana","BWA","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32337.2570767331","31459.7820441125","30867.4771780048","31381.0369847989","32766.9995142419","32245.1504875539","35742.5274338401","36625.3513687984","37939.3148986993","39677.8098846137","35438.2972536614","41069.7450787278","42797.8715504824","45309.5912148649","51449.148591301","59759.8513195461","54958.7940723636","48491.2613472423","30477.6212907262","36810.3687808294","38997.2071326661","37384.2742445247","42066.7737971842","44232.8085040266","40408.1044243594","41286.8162607067","43061.0116505614","44923.2468373302","43863.3206793798","39001.2723909801","42651.5804312091","45663.001936832","43004.9477907668","",
"Central African Republic","CAF","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5470.22004892486","5449.67250566443","6071.45122192717","6490.76751431919","3746.09563088084","3264.15633750876","3685.31594520961","3707.58373978551","3697.05479123812","3603.60732074711","3978.24359547359","3891.88914680226","4967.04161694171","4854.08912512626","4307.71783973948","",
"Canada","CAN","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84690.9261270742","84808.667267174","87620.6282980112","90241.5039597502","89446.1799774977","89242.6063896264","88889.1819254202","90047.538242108","92965.3480777335","94301.4484669496","94819.2161686474","93038.0975215235","89723.5983612575","95274.6364406124","97046.0767002888","97040.9346185306","99544.0307385869","104246.760750904","103401.59514169","103997.322574095","104277.796691339","106057.928707603","106286.52938228","104938.026557194","107026.664357089","105207.082415164","102352.942594877","",
"Central Europe and the Baltics","CEB","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13662.4568276394","14067.9084331059","14153.3736327605","14448.08044265","15175.8569002626","16141.5928015728","16844.1635281901","17692.7171512956","18664.1017075317","19638.3304092829","20486.5949089854","21906.361231902","22492.9507335732","22834.0726953913","23241.1619399047","25027.5818852973","26320.1179515387","25837.3654996641","25432.2288587875","26376.4634922722","27489.439174293","27034.0501168579","27294.100503744","28240.8153599403","28950.7771576541","27955.251606973","28799.8685186532","29147.669041752","29337.6147686197","",
"Switzerland","CHE","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","128515.183869322","129693.066205677","131384.555447172","138757.092679766","138738.021383383","132174.992188841","138127.628615973","138708.055323983","140069.976996032","140153.925256093","143309.230663851","149585.555835605","156438.460552159","157062.789415819","162981.121206621","165029.668055665","167700.754219988","170761.305994267","154648.832572571","167311.956603614","174800.825738137","173458.032465538","174705.418610554","176877.030009787","177091.685285614","178816.510989843","185788.464280861","195038.679261148","199103.551072488","191815.356825154","220275.178786804","227039.551934733","220458.166827574","",
"Channel Islands","CHI","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26204.9740525641","27103.6790531154","27580.0892613203","29768.7416840884","30811.8354722073","33275.2831688409","33601.5995303452","35694.7132797536","39074.4539128314","39809.4144213322","39262.6323711732","38937.9984566834","39247.9930058983","40016.2730165397","39472.1653733925","39167.5855786735","38085.7052853961","36625.6108918285","36641.3506056095","34546.5488452239","33262.5091514087","33750.0750081516","33719.3561427002","34154.8764518939","33759.4648837181","34415.7905780745","33901.9015877595","35358.49506849","34603.2042362835","38738.1762716527","35635.9849279331","32792.0944775379","33757.2304572862","",
"China","CHN","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2450.5457255638","2896.69484406822","3341.66468765398","3867.57436560425","4306.03556351119","4680.34883683954","5072.20651868467","5510.81220554576","6037.21101329933","6543.43499939776","7276.92311819485","8255.98883060564","9126.10369516551","9607.80051272953","10058.8649384354","10662.1835525429","11456.4213685246","12376.7253139803","13333.0958453921","14491.662725907","15520.5241003379","16364.3693767586","17787.2138298658","19165.5886904682","20703.0565597093","21677.8024651079","22705.2405204797","23724.2830516687","24578.6362492832","25127.1565923664","26262.8006096178","27357.6475780822","28154.8384181093","",
"Cote d'Ivoire","CIV","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8642.82249697796","8529.28998647449","7832.1291886561","7050.36998698679","6574.74134957007","7740.66149305407","7719.7881560821","8049.48025851952","8038.04054478577","8574.16305575881","10063.6471970423","13159.1492504825","12004.9870491701","12078.7075829329","13087.9002847609","13999.6479685349","",
"Cameroon","CMR","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15118.7646538664","13299.0728015736","11799.8271858337","11268.8246738938","10327.6263327851","10107.8121123482","9690.57993646048","9895.82226515966","9702.60791198641","9487.0749788126","9231.42850191864","9780.78977979","9269.60729323914","9325.77244440269","8594.36874855342","8511.25843626361","7904.74923821999","7620.62268617686","7301.26965205855","6968.10792722518","6519.2980378754","6588.616785961","6443.56422922302","6208.02477091567","6420.89472793605","6591.40341589404","6562.53294838466","6628.57147951023","6768.48340982114","6862.94694207371","6942.57047127789","6767.83834152678","6663.98443957622","",
"Congo, Dem. Rep.","COD","Industry (including construction), value added per worker (constant 2015 US$)","NV.IND.EMPL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9069.85708574572","6225.33703951858","5222.32738957924","4894.8838391883","4205.22793514706","4419.43499721883","3574.45452073855","3442.68786698806","3584.65904422284","3960.63196225084","3565.33555477156","3587.92823713294","3483.08356892983","3475.6976864448","3756.56330676278","3829.81447644755","3997.92161986663","4056.50931244313","4079.82896806487","4526.72937828997","4838.27774957496","5506.54476465371","5798.31402134252","5998.75200797141","6456.88759705449","5954.32013589211","6148.0995497381","6526.55101890421","6079.88008212955","6633.92444044735","6642.83152368844","7342.06440232138","8187.83165782231","",
